OBJECTID,GlobalID,Reporting_Year,GeoID,GeoLevel,GeoName,Shape__Area,Shape__Length,SURVEY,EG_ACS_ELEC,EG_ACS_ELEC_LOCATION_R_P,EG_ACS_ELEC_LOCATION_T_P,EG_ACS_ELEC_LOCATION_U_P
1,218773b3-b457-43cc-8599-9de86f613dfa,2015,GUDHS2015410011,GuatemalaAdmin2015,,2369652831.93848,286624.681366575,GU2015DHS,99.3,,,
2,3dcf03e2-5720-4adb-95d8-09900e00c21e,2015,GUDHS2015410013,GuatemalaAdmin2015,,1976825316.49902,233570.462197987,GU2015DHS,90.5,,,
3,8a1ae07d-ec59-4765-8bfa-c2fcb5d4d88d,2015,GUDHS2015410014,GuatemalaAdmin2015,,575705241.344727,137440.0865642,GU2015DHS,98.2,,,
4,76efb8ff-effa-40d7-9ac2-257c48218d99,2015,GUDHS2015410015,GuatemalaAdmin2015,,2004038171.9248,241296.504558836,GU2015DHS,95.3,,,
5,fcb3b575-60ef-4ce9-bb96-57960a632eee,2015,GUDHS2015410016,GuatemalaAdmin2015,,4821088738.66211,410838.307143337,GU2015DHS,96.4,,,
6,c444309c-cc2d-4836-bc79-e44a4edb9269,2015,GUDHS2015410017,GuatemalaAdmin2015,,3374850825.32617,359330.0300162,GU2015DHS,89.4,,,
7,b6a91df0-9703-4de6-ad5d-52aca8ed1228,2015,GUDHS2015410018,GuatemalaAdmin2015,,1254908637.50781,200752.105130959,GU2015DHS,95.2,,,
8,ef7d7110-b6f0-479a-bc1d-b64a51d64e04,2015,GUDHS2015410019,GuatemalaAdmin2015,,1160593214.29102,194074.342633804,GU2015DHS,95.7,,,
9,b9340590-b634-43b4-af24-2b23c90399d0,2015,GUDHS2015410020,GuatemalaAdmin2015,,2295227110.79102,347005.316072917,GU2015DHS,94.1,,,
10,15f0347b-568b-407e-a48b-140bc8b0a98f,2015,GUDHS2015410021,GuatemalaAdmin2015,,2570666924.67969,367114.48894901,GU2015DHS,93.9,,,
11,f0f62805-8b90-460d-a41c-c6934a3adae8,2015,GUDHS2015410022,GuatemalaAdmin2015,,1831057467.95117,286674.54441577,GU2015DHS,92.8,,,
12,079f618e-840d-4433-9fda-0a15c2993374,2015,GUDHS2015410023,GuatemalaAdmin2015,,3839236878.70996,398449.976566495,GU2015DHS,91.6,,,
13,3cd511fa-f4a2-49f7-94c0-4e45f08f079a,2015,GUDHS2015410024,GuatemalaAdmin2015,,7992680372.5918,466554.480229249,GU2015DHS,80.7,,,
14,48c26c7d-c7e4-412c-9e9d-6c5fe6760df3,2015,GUDHS2015410025,GuatemalaAdmin2015,,7881834124.18359,788225.957477376,GU2015DHS,80.9,,,
15,3a3bf44c-e0c9-47f5-be20-261e7f7fc2da,2015,GUDHS2015410026,GuatemalaAdmin2015,,3257094012.17383,336901.604611683,GU2015DHS,72.2,,,
16,8f33e508-c664-4ee7-aa56-34a9bcf05204,2015,GUDHS2015410027,GuatemalaAdmin2015,,11493672575.792,689731.444964718,GU2015DHS,50,,,
17,46f7e8e4-29ad-4634-8db4-a00730640727,2015,GUDHS2015410028,GuatemalaAdmin2015,,39465550532.0137,1096370.49590053,GU2015DHS,70.3,,,
18,48bb313a-cbdb-439a-98d4-0743c14fec98,2015,GUDHS2015410029,GuatemalaAdmin2015,,8937093132.0752,626882.068974027,GU2015DHS,77.8,,,
19,d2b4e818-ba03-4204-9f6f-39043448084c,2015,GUDHS2015410030,GuatemalaAdmin2015,,2911881186.71191,326156.429304912,GU2015DHS,85.7,,,
20,5f3c7e55-5603-40c5-95c0-b7ff8b2fcd1e,2015,GUDHS2015410031,GuatemalaAdmin2015,,2581258359.04785,282924.216718637,GU2015DHS,78.7,,,
21,9f7324ad-48ca-49d7-bf96-cfa4b42b686f,2015,GUDHS2015410032,GuatemalaAdmin2015,,2181336227.29297,253214.736111889,GU2015DHS,82.9,,,
22,0dea7b7d-445d-4b29-85b2-e93cfca2f788,2015,GUDHS2015410033,GuatemalaAdmin2015,,3540578227.09961,463706.083614914,GU2015DHS,90.5,,,
