OBJECTID,GlobalID,Reporting_Year,GeoID,GeoLevel,GeoName,Shape__Area,Shape__Length,SURVEY,SH_STA_ANEM,SH_STA_ANEM_PREG,SH_STA_ANEM_PREG_REPORTINGTYPE_R_P,SH_STA_ANEM_REPORTINGTYPE_R_P,SH_STA_STNT,SH_STA_STNT_LOCATION_R_P,SH_STA_STNT_LOCATION_T_P,SH_STA_STNT_LOCATION_U_P,SH_STA_WAST,SH_STA_WAST_LOCATION_R_P,SH_STA_WAST_LOCATION_T_P,SH_STA_WAST_LOCATION_U_P,SH_STA_WAST_SEX_T_P,SN_STA_OVWGT,SN_STA_OVWGT_LOCATION_R_P,SN_STA_OVWGT_LOCATION_T_P,SN_STA_OVWGT_LOCATION_U_P,SN_STA_OVWGT_SEX_T_P
1,db381b29-73a4-4f95-8ba9-7865ea2a6263,2015,GUDHS2015410011,GuatemalaAdmin2015,,2369652831.93848,286624.681366575,GU2015DHS,9.5,9.5,,,18.7,,,,0.9,,,,,3.5,,,,
2,b2ec4d89-f69f-45b1-ab17-38cc1887ef45,2015,GUDHS2015410013,GuatemalaAdmin2015,,1976825316.49902,233570.462197987,GU2015DHS,20.1,20.1,,,29.1,,,,1.6,,,,,4.5,,,,
3,b0cbbbe9-fe45-479d-a3fa-5eadea18098c,2015,GUDHS2015410014,GuatemalaAdmin2015,,575705241.344727,137440.0865642,GU2015DHS,12.8,12.8,,,42.4,,,,0.9,,,,,8.5,,,,
4,5d84af77-b576-4669-8ecf-2b68270d20cf,2015,GUDHS2015410015,GuatemalaAdmin2015,,2004038171.9248,241296.504558836,GU2015DHS,8.5,8.5,,,56.5,,,,0.4,,,,,5.9,,,,
5,91fe8183-f463-4a0f-900c-166b6f949899,2015,GUDHS2015410016,GuatemalaAdmin2015,,4821088738.66211,410838.307143337,GU2015DHS,15.4,15.4,,,26.9,,,,1.1,,,,,2.9,,,,
6,eab3f10d-a6e0-4d55-8147-61d74dd2d5c0,2015,GUDHS2015410017,GuatemalaAdmin2015,,3374850825.32617,359330.0300162,GU2015DHS,18.3,18.3,,,33.6,,,,0.6,,,,,4.8,,,,
7,ab805abd-235e-49c1-8e35-538c834feb3f,2015,GUDHS2015410018,GuatemalaAdmin2015,,1254908637.50781,200752.105130959,GU2015DHS,16.7,16.7,,,65.6,,,,0,,,,,4.6,,,,
8,3aa3aeb2-8452-4b06-b9cd-e190e2fb7575,2015,GUDHS2015410019,GuatemalaAdmin2015,,1160593214.29102,194074.342633804,GU2015DHS,12.4,12.4,,,70,,,,0.5,,,,,4.9,,,,
9,9f37976b-ce13-4e5f-8152-07c470718f24,2015,GUDHS2015410020,GuatemalaAdmin2015,,2295227110.79102,347005.316072917,GU2015DHS,16.9,16.9,,,48.8,,,,1,,,,,4.8,,,,
10,62a09829-656f-4517-a30f-7f749b709452,2015,GUDHS2015410021,GuatemalaAdmin2015,,2570666924.67969,367114.48894901,GU2015DHS,17.2,17.2,,,39.6,,,,1.1,,,,,3.9,,,,
